Zeitstempel,Player  Name,Player ID,What Alliance do you belong to?,Do you want a construction day appointment (Monday),How many normal Fire Crystals will you use on Monday?,How many REFINED Fire Crystals will you use on Monday?,How many  Speedups are you planning to use on construction day? (In days),What times you are available on Monday Construction day? (UTC time),Do you want a research appointment? (Tuesday),How many speedups are you planning to use on research day? (in days),How many Fire Crystal Shards do  you have?,"What times you are available on Tuesday Research day? (UTC time)

Choose MINIMUM 4 times, but select ALL you can make. ",Do you want a troop training appointment?  (Thursday),How many speedups are you planning to use on Thursday troop day? (In days),"What times you are available on Thursday? (UTC time)

Choose MINIMUM 4 times, but select ALL you can make. ",Anything else you want to say?,Spalte 1
02.09.2026 17:37:50,Anmanaria,580582282,GOW,No,,,,,Yes,9,800,"10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,15,"10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",,
02.09.2026 19:09:01,M4RIus P4cificus ,559642841,GOS,Yes,800,70,40,"06:00, 07:00, 08:00, 19:00, 20:00",Yes,60,200,"06:00, 07:00, 08:00, 18:00, 19:00, 20:00",Yes,35,"06:00, 07:00, 08:00, 18:00, 19:00, 20:00",Hello world!,
02.09.2026 23:35:31,Jenny,582543600,WSE,Yes,3200,20,40,"00:00, 01:00, 02:00, 23:00",Yes,32,1700,"00:00, 01:00, 02:00, 23:00",Yes,30,"00:00, 01:00, 02:00, 23:00",,
03.09.2026 00:05:26,Governatur,584633258,GOS,Yes,3000,100,50,"09:00, 10:00, 11:00, 12:00",Yes,50,1500,"09:00, 10:00, 11:00, 12:00",Yes,50,"09:00, 10:00, 11:00, 12:00",,
03.09.2026 01:48:23,JJJUU ,580724898,WSE,Yes,1200,150,40,"00:00, 01:00, 02:00, 15:00, 16:00, 22:00, 23:00",Yes,45,2000,"00:00, 01:00, 02:00, 15:00, 16:00, 22:00, 23:00",No,,,Obrigada ,
03.09.2026 15:53:06,Yuli hamarbia,583532816,GOS,Yes,1200,60,25,"14:00, 15:00, 16:00, 17:00, 18:00",Yes,40,800,"14:00, 15:00, 16:00, 17:00, 18:00",Yes,20,"15:00, 16:00, 17:00, 18:00, 19:00",,
03.09.2026 15:55:16,Rawn,585973996,GOS,Yes,1500,100,25,"01:00, 02:00, 03:00, 04:00",Yes,50,1200,"00:00, 01:00, 02:00, 03:00",Yes,30,"04:00, 05:00, 17:00, 18:00",,
03.09.2026 16:38:20,May,586465501,GOS,Yes,400,87,34,"10:00, 11:00, 12:00, 22:00",Yes,80,150,"08:00, 20:00, 21:00, 22:00",Yes,50,"08:00, 20:00, 21:00, 22:00",,
03.09.2026 17:28:26,Lamora,633472719,GOS,Yes,1000,0,15,"16:00, 17:00, 18:00, 19:00, 21:00",Yes,50,7000,"15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00",Yes,50,"15:00, 16:00, 17:00, 18:00, 19:00, 21:00, 22:00",,
03.09.2026 18:30:02,HisQueen ,579376824,ABS,No,,,,,No,,,,Yes,40,"04:00, 10:00, 11:00, 17:00",You’re awesome 😊,
03.09.2026 20:45:00,JFizzle,582904024,WSE,Yes,1000,100,30,"02:00, 03:00, 15:00, 16:00",Yes,50,2200,"02:00, 03:00, 14:00, 15:00",Yes,30,"02:00, 03:00, 13:00, 14:00",No,
04.09.2026 02:41:55,Paladin ,580321993,GOS,Yes,2000,150,50,"01:00, 02:00, 03:00, 15:00, 16:00, 17:00, 18:00",Yes,35,900,"01:00, 02:00, 03:00, 15:00, 16:00, 17:00, 18:00",Yes,40,"01:00, 02:00, 03:00, 15:00, 16:00, 17:00, 18:00",Thanks 😊,
05.09.2026 00:13:28,Bee,579738687,kAt,Yes,3500,50,30,"00:00, 01:00, 02:00, 03:00, 04:00",Yes,100,4500,"00:00, 01:00, 02:00, 03:00, 04:00, 20:00, 21:00, 22:00, 23:00",Yes,30,"00:00, 01:00, 02:00, 03:00, 04:00, 21:00, 22:00, 23:00",,
05.09.2026 00:18:21,helter ⸙⸙⸙,579212267,ABS,Yes,1500,60,30,"14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,10,1000,"14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,17,"14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Thanks as always 🔥,
05.09.2026 00:25:39,Cluesblues ,582719685,kAt,Yes,2000,100,10,"11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00",Yes,20,5000,"09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00",Yes,30,"08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00",,
05.09.2026 01:17:37,Goldy,585711690,ABS,Yes,1900,104,50,"00:00, 01:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,50,505,"00:00, 01:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,90,"00:00, 01:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Pupaccino made me ,
05.09.2026 03:50:43,zarc,580680534,WSE,Yes,2997,285,52,"00:00, 01:00, 02:00, 03:00",Yes,100,6936,"00:00, 01:00, 02:00, 03:00",No,,,♥️,
05.09.2026 05:52:27,PhillyBilly,582205245,GOS,Yes,1500,100,50,"00:00, 01:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,130,1000,"00:00, 01:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,80,"00:00, 01:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",,
05.09.2026 14:31:33,Candie,586809707,GOS,Yes,15000,300,128,"00:00, 01:00, 02:00, 03:00",Yes,108,0,"00:00, 01:00, 02:00, 03:00",Yes,86,"00:00, 01:00, 02:00, 03:00",Hmmmm,
05.09.2026 16:49:38,JackedHatter,583074044,WSE,Yes,1000,200,30,"00:00, 01:00, 02:00, 03:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,30,1000,"00:00, 01:00, 02:00, 03:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,14,"00:00, 01:00, 02:00, 03:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",,
05.09.2026 19:20:16,Mono,567146104,ABS,Yes,2000,300,30,"00:00, 01:00, 02:00, 03:00",Yes,130,2000,"00:00, 01:00, 02:00, 03:00",Yes,40,"00:00, 01:00, 02:00, 03:00",,
05.09.2026 19:21:33,Youri,583991923,GOS,Yes,500,25,15,"01:00, 02:00, 04:00, 05:00, 06:00, 07:00, 08:00",Yes,20,3000,"06:00, 07:00, 08:00, 09:00",Yes,15,"03:00, 04:00, 05:00, 06:00, 07:00",Fuq k,
05.09.2026 19:42:03,Lorddizzle,574716612,GOS,No,,,,,No,,,,Yes,4,"14:00, 18:00, 20:00, 21:00",This is my first time doing this so I will save better next time!,
05.09.2026 19:48:57,AshleyWhite,699335584,GOW,Yes,400,0,15,"00:00, 01:00, 02:00, 03:00, 22:00, 23:00",Yes,65,400,"00:00, 01:00, 02:00, 03:00, 22:00, 23:00",Yes,40,"00:00, 01:00, 02:00, 03:00, 22:00, 23:00",Penis,
05.09.2026 20:20:29,Sr Sasa ,576240758,GOS,Yes,1200,80,45,"00:00, 01:00, 02:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,20,1000,"00:00, 01:00, 02:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,25,"00:00, 01:00, 02:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",,
05.09.2026 22:47:29,James Bond,584305197,GOS,Yes,1819,1200,19,"15:00, 16:00, 17:00, 18:00",Yes,28,1200,"15:00, 16:00, 17:00, 18:00",Yes,10,"14:00, 15:00, 16:00, 17:00, 18:00",Général 42,
05.09.2026 22:50:39,Warlineh,585105947,kAt,Yes,1577,119,102,"02:00, 03:00, 04:00, 05:00, 06:00",Yes,34,8014,"02:00, 03:00, 04:00, 05:00, 06:00",Yes,25,"02:00, 03:00, 04:00, 05:00, 06:00",Q's nudes plz,
05.09.2026 22:51:20,Zivko,575437759,GOS,Yes,1000,18,10,"04:00, 05:00, 06:00, 07:00",Yes,10,1000,"04:00, 05:00, 06:00, 07:00",Yes,8,"04:00, 05:00, 06:00, 07:00",Thanks for the work you guys put in. ,
05.09.2026 22:51:24,Tolan,578812690,GOS,Yes,1000,100,60,"07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 20:00",Yes,46,2236,"07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 20:00",No,,,Please use this info (new form). Sorry Queenie!,
06.09.2026 01:17:57,Linlin,641025760,WSE,Yes,8000,175,100,"02:00, 03:00, 04:00, 05:00",Yes,50,5000,"02:00, 03:00, 04:00, 05:00",Yes,45,"02:00, 03:00, 04:00, 05:00",No,
06.09.2026 08:26:08,Lord Beatdown,580653575,ABS,Yes,2187,101,125,"00:00, 01:00, 02:00, 03:00",Yes,127,1280,"00:00, 01:00, 02:00, 03:00",Yes,27,"00:00, 01:00, 02:00, 03:00",,
06.09.2026 09:14:35,KNOX,583006612,GOW,Yes,1566,127,35,"10:00, 11:00, 12:00, 20:00, 21:00, 22:00",No,,,,Yes,37,"09:00, 10:00, 11:00, 12:00, 20:00, 21:00",Thank you for your hard work!,
06.09.2026 10:03:03,WiFi666,581540048,kAt,Yes,5266,75,80,"11:00, 12:00, 14:00, 15:00",Yes,60,2812,"02:00, 03:00, 04:00, 11:00, 12:00, 13:00",No,,,Thank you,
06.09.2026 10:38:56,PEPPER,574766290,kAt,Yes,800,100,20,"03:00, 04:00, 05:00, 06:00, 07:00",Yes,20,900,"03:00, 04:00, 05:00, 06:00, 07:00",Yes,30,"03:00, 04:00, 05:00, 06:00, 07:00",Best luck!,
06.09.2026 11:26:24,TemiFarm'sFarm,581003166,WSE,Yes,4310,215,30,"10:00, 11:00, 12:00, 13:00",Yes,45,3428,"10:00, 11:00, 12:00, 13:00",Yes,70,"10:00, 11:00, 12:00, 13:00",😳💕,
06.09.2026 11:40:17,Salem,582194710,kAt,Yes,4500,35,40,"00:00, 01:00, 03:00, 12:00, 13:00",Yes,40,1250,"12:00, 13:00, 21:00, 22:00, 23:00",Yes,25,"12:00, 13:00, 21:00, 22:00, 23:00","As always, thanks for all the great work! It’s abundantly appreciated 💚💚💚",
06.09.2026 11:46:56,GGobiGGo,581310183,kAt,Yes,9000,120,200,"00:00, 01:00, 09:00, 10:00",Yes,100,1000,"00:00, 01:00, 09:00, 10:00",Yes,100,"00:00, 01:00, 09:00, 10:00",,
06.09.2026 11:59:20,Endless,579812688,GOW,Yes,500,100,500,"20:00, 21:00, 22:00, 23:00",Yes,250,100,"20:00, 21:00, 22:00, 23:00",Yes,10,"20:00, 21:00, 22:00, 23:00",Thanks,
06.09.2026 12:24:15,[kAt]cLuEsDoLpHiN,580854847,kAt,Yes,2000,100,25,"13:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00",Yes,26,4000,"13:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00",Yes,15,"12:00, 13:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00",,
06.09.2026 13:12:28,BIG TAT,586280534,RZN,Yes,1663,181,25,"09:00, 10:00, 11:00, 12:00, 13:00",Yes,100,3081,"09:00, 10:00, 11:00, 12:00, 13:00, 14:00",Yes,120,"09:00, 10:00, 11:00, 12:00, 13:00, 23:00",,
06.09.2026 13:32:41,ARM@A,579992605,GOW,Yes,1600,130,50,"06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00",Yes,16,750,"06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00",Yes,20,"06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00",Love You :),
06.09.2026 13:40:47,Queenie,582309362,kAt,Yes,3000,160,40,"06:00, 07:00, 08:00, 09:00, 10:00, 19:00, 20:00",Yes,100,900,"06:00, 10:00, 18:00, 19:00, 20:00",Yes,65,"07:00, 13:00, 14:00, 19:00, 20:00, 21:00",,
06.09.2026 16:09:19,skkuullzz,580017089,kAt,Yes,3765,86,21,"00:00, 01:00, 04:00, 13:00",No,,,,Yes,28,"00:00, 02:00, 03:00, 04:00",LETS GO 3496! <3333333,
06.09.2026 16:44:26,Sergio,580982323,kAt,Yes,2000,92,20,"18:00, 19:00, 20:00, 21:00",Yes,35,1500,"18:00, 19:00, 20:00, 21:00",Yes,45,"18:00, 19:00, 20:00, 21:00",Have a nice day ,
06.09.2026 18:38:41,Shortie,582696189,GOW,Yes,2000,60,20,"06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00",No,,,,No,,,,
06.09.2026 19:16:58,ᵇᵃᵇʸD A N T E ,737227288,kAt,Yes,5000,50,104,"01:00, 02:00, 17:00, 18:00",Yes,15,4300,"02:00, 03:00, 17:00, 18:00",Yes,21,"02:00, 03:00, 17:00, 18:00","Great job, thank you. ",
